25,25,25,25,25,25,25,25,25,25,25,25,25,6.1,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,7.6,4.9,8.9,4.7,25,25,25,-0.8,3.1,2.2,25,6.8,25,25,25,7.4,25,25,25,25,7
25,25,25,25,25,25,25,25,6.9,25,4,6.4,6.4,25,25,3.4,0.4,0.3,25,1.9,25,3.1,25,25,25,25,25,25
25,25,25,25,25,25,25,10.4,4.1,2.5,4.2,6.7,-0.1,0,2.4,2.5,25,0.7,-0.4,-1.8,0.8,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,5.2,2.5,2.9,3.6,1.9,2.7,3.6,2.1,-1.8,-0.4,25,-2.9,-2.6,25,25,25,25,25,25,25
25,25,25,25,25,25,2.5,4.2,2.8,2.2,4.9,4.5,2.1,0.1,-1.1,-1.6,-1.8,-2.3,-2.6,-3.5,25,-2.4,25,25,25,25,25,25
25,25,25,25,25,3.1,25,2.8,1.9,-0.1,0.4,1.7,2.5,1.7,-1.8,-2.4,-3.9,-1.1,-1.8,-4.8,-5.2,25,-3.6,25,25,25,25,25
25,25,25,25,2.3,2.2,3.8,3.2,0.7,1.4,4.2,0.7,1.9,-2.2,-4.6,-2.8,-3.7,0,-5.9,-9.1,-4.8,-6,25,-4.5,-3,25,25,25
25,25,25,25,1.6,5.1,3,25,-0.9,-0.2,1,1.4,0.2,-3.3,-3.2,-2.9,-3.6,-1.9,25,-6.3,-4.7,-4.4,-4.4,25,25,25,25,25
25,25,25,1.4,2.2,25,-4.5,25,-1.6,25,-2.1,-3.3,3.2,-1.5,-2.1,-2.8,-4.3,25,-3,-5.6,-5.6,-1.1,-2.2,25,-4.6,25,25,25
25,25,25,2.3,3.9,25,-1.3,25,-2.7,0.5,0.7,1,3.9,2.4,25,25,-6.6,-4.8,-7.4,-8.4,-4.8,-1.6,-2.2,0,0,25,1.5,3.8
0.7,25,25,3.2,0.7,-0.6,0.3,-1.6,-2.4,-3.1,25,-3.8,-4.8,1.9,-6.6,-3.9,-4.3,-4.7,4.1,25,-3,-3.3,25,-3.2,-2.2,25,25,25
25,-2.5,25,0.2,2.3,-0.6,-1.7,-2.7,-0.2,25,-7.4,-3.4,0.9,1.5,25,-3.4,-4.4,-4.9,-2.9,25,-3.6,-3.7,0.3,-1.5,-0.7,25,4,25
-3.9,25,0.9,0.6,25,-0.3,0.3,0.5,-0.1,-2.8,25,-3.3,-2,-0.7,0.4,25,-1.8,25,-3.9,-3.7,-1.3,-2,25,-3.9,-2.5,-3.7,25,25
25,1.8,25,0.2,-0.3,-1,-2.4,-4.3,-2.5,-1.5,-2.4,25,-1,-2.9,-3,-1.3,-1.1,-5.4,-3.3,-2,1.4,-0.9,25,-5.1,25,25,25,25
25,3.6,1.5,-3.5,0.2,0.4,-0.7,-2.3,-2.4,-1.8,-0.5,-1.2,-1,-1.3,-1.9,-1,-1.7,-3.5,-2,-1.5,25,25,-3.5,-3.4,0.5,-0.3,25,25
25,4.3,4.6,25,-1,-0.7,-2.3,-0.8,-3.1,-3,-2,-2.9,-3.3,25,-3.2,0.1,-6,-6.4,-5.8,-6.4,-5.6,-3.9,-5.5,25,25,25,25,25
25,25,1.2,0.4,-1,25,-2.4,-1.2,-2.3,-3.9,-4.2,25,-3.7,-4.6,-0.7,-5.2,-3.5,-5.3,-4.5,-3.2,-6.4,25,25,1.4,-2.7,25,25,25
25,25,0.6,-2.5,-0.9,-2.9,-4.2,-2.5,-1.1,-2,-4.1,-4.6,-4.3,-2.8,-3.2,-4.8,-4.2,-4.9,-3.1,-2,25,25,-6.1,25,25,25,25,25
25,25,25,0,0.7,-0.9,-1.1,-3.4,-2.6,-2.4,25,-0.3,-2.7,-1.3,-2.3,-1.3,25,-1.8,-1.6,-2.2,25,-5.2,25,-4.8,25,25,25,25
25,25,25,25,0,-0.5,-3.3,-4.5,-0.8,-3.7,-3.2,-3.1,-1,-1.6,25,-2.6,-0.8,-2.8,25,25,25,25,25,25,25,25,25,25
25,25,25,25,1.9,-1.8,25,-7,25,25,-4.8,-4.7,-4.6,-3.4,-3.8,-2.7,-2.5,25,25,-6.8,25,25,25,25,25,25,25,25
25,25,25,25,25,25,-2.8,-2.4,-0.4,-0.2,-4,0,25,25,25,25,25,-5.2,-2.4,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,-3.1,25,25,25,-5,25,25,-5.9,-3.1,-10.1,25,25,25,25,25,25,25,25,25,25,25

