25,25,25,17.2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,16.4,25,9.1,9.9,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,11.5,13.3,10.8,25,15.4,25,25,25,25,5.7,10.8,8.6,7.8,4,7.2,25,25,25,25,25,25
25,7.8,25,11.4,6,14.5,17.5,25,25,25,15.6,25,25,9.3,5.8,5.3,25,3.7,9.9,25,25,25,25,25
25,25,10.9,11.7,-1.2,10.2,12.7,25,25,17,11.8,7.8,11.5,8.9,2.3,2.8,4.2,5.5,25,25,25,25,25,25
25,9.7,25,15.1,14.3,13.3,12.7,25,17.3,18.3,11.6,8.6,25,5.8,6.5,25,1,25,3.7,6.3,25,25,25,25
25,25,25,25,6.6,10.6,9.5,13.7,13.9,9.8,3.3,25,12.2,9.6,25,25,6.1,2.5,5.6,3.8,25,25,25,25
25,25,25,25,25,11.4,9.9,12.6,11.3,5.6,-2.1,10.9,5.7,8.6,2.4,3.1,2.3,7.2,25,3.8,25,11.4,25,25
25,25,25,25,25,25,5,9.3,14.5,8.1,25,11.4,12.3,5.8,25,3.1,-0.1,25,2.2,1.5,5.2,25,25,25
25,25,25,8.7,15.3,16.6,9.4,10.6,10.2,25,12,10.4,25,11.8,25,3.1,7.3,3,1.4,1,5.2,25,25,25
25,25,25,11.5,14.4,12.9,11.5,25,11.2,25,25,25,25,25,1.4,1.2,25,5.1,1.4,4.8,6.7,25,25,8.6
8.5,10.9,12.3,9.7,8.5,25,10.5,10.9,6.1,10.5,25,25,25,4.6,7.2,8,0.2,7.4,4.1,10.8,10.3,8.9,25,25
12.6,10.8,7.3,8.4,7.7,25,10.4,7.9,9.5,6.7,25,7,25,-1.8,25,5.3,25,3.4,6.7,6.4,0.3,11.3,5.3,5.5
13.7,25,5.1,6.9,9.7,7.1,11,5.9,1.1,25,25,6.1,25,1.7,2.8,6.8,25,2.3,4,2.3,10,6.7,8,25
13.3,2.3,8.8,7.2,9,8.4,10.5,7.1,7.6,25,25,25,25,5.4,8.9,25,3.4,7.4,0.6,25,6.3,25,25,25
8.9,6.9,25,5.3,2.6,7.5,25,8.2,25,7.1,8.8,11,25,1.2,6.3,25,4,2.6,25,3.4,6.9,25,2.8,1.6
25,25,4.8,3.4,6.5,9.3,25,25,4.7,25,2.6,25,-2.4,-1.4,25,25,0.9,1.9,1.2,3.9,2.8,-1.2,25,25
25,2.4,25,25,25,5.5,25,25,25,6.8,25,25,25,5.8,25,25,-5.4,-4.4,-1.7,25,25,25,25,25
25,-1.2,6,25,3.5,-0.1,-1.5,0.3,2.8,25,3,0.8,0.4,4.5,25,4.3,25,-3.4,25,-4.6,25,25,-1,25
25,-0.1,5.2,-0.2,25,25,7.3,5.3,6.1,4,25,4,25,25,25,25,25,-3.9,25,25,25,25,25,25
25,25,25,25,25,1.8,25,-5.9,6.7,-0.4,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,-2.8,25,4.1,3.9,4.8,1.3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
